date,city_name,daily_avg_temp,daily_max_temp,daily_min_temp,daily_avg_wind_speed,daily_max_wind_speed,daily_min_wind_speed,wind_direction,avg_relative_humidity,avg_dew_point,avg_pressure,precipitation_sum,rainy_hour_sum
2019-02-23,Adana,12.58,17.0,10.0,9.41,14.8,3.6,30.0,72.46,7.54,1020.02,0.0,0
2019-02-24,Adana,13.36,19.0,8.0,6.15,14.8,0.0,30.0,64.67,6.3,1020.88,0.0,0
2019-02-25,Adana,14.2,21.0,7.7,7.9,14.8,0.0,30.0,57.46,4.82,1019.29,0.0,0
2019-02-26,Adana,13.34,17.0,9.0,18.95,33.5,1.8,30.0,61.96,5.72,1006.83,0.0,0
2019-02-27,Adana,11.23,18.0,6.0,10.59,24.1,0.0,30.0,70.33,5.57,1002.15,0.0,0
2019-02-28,Adana,9.16,14.0,3.0,13.6,29.5,0.0,330.0,49.42,-2.26,1004.72,0.0,0
2019-03-01,Adana,8.83,15.0,1.0,7.08,16.6,0.0,190.0,57.92,0.36,1011.81,0.0,0
2019-03-02,Adana,12.13,17.1,7.0,7.32,16.6,0.0,30.0,66.08,5.68,1011.35,0.0,0
2019-03-03,Adana,12.1,16.2,9.0,10.58,22.3,0.0,30.0,84.38,9.42,1011.71,0.0,0
2019-03-04,Adana,12.74,16.6,9.0,6.82,13.0,0.0,50.0,79.21,9.02,1014.32,0.0,0
2019-03-05,Adana,12.86,17.0,9.0,7.92,14.8,0.0,340.0,78.62,8.97,1018.79,0.0,0
2019-03-06,Adana,12.95,18.0,8.0,9.44,24.1,0.0,220.0,76.83,8.62,1020.89,0.0,0
2019-03-07,Adana,13.95,18.0,8.0,17.31,31.7,5.4,30.0,48.54,1.71,1019.75,0.0,0
2019-03-08,Adana,12.85,22.0,5.2,9.35,20.5,3.6,40.0,51.08,0.89,1023.59,0.0,0
2019-03-09,Adana,12.83,19.5,5.0,8.08,14.8,0.0,30.0,67.75,6.21,1024.92,0.0,0
2019-03-10,Adana,13.19,18.2,9.0,7.8,14.8,0.0,30.0,79.79,9.56,1020.27,0.0,0
2019-03-11,Adana,14.5,19.0,10.0,8.39,18.4,1.8,160.0,83.0,11.5,1019.66,0.0,0
